32,30
31,70
26,80
15,90
23,80
15,30
15,10
18,10
16,00
9,10
20,30
23,90
25,00
22,40
17,40
15,30
9,70
7,60
8,70
8,10
4,80
4,00
11,30
21,60
27,70
28,10
32,70
28,60
27,10
33,60
31,70
16,90
27,30
27,40
18,30
27,00
29,50
31,90
22,50
21,60
20,40
26,20
24,10
28,90
34,00
33,50
32,60
32,10
33,40
33,60
29,40
26,60
32,00
34,90
33,60
33,90
33,70
32,10
28,90
34,90
38,30
37,00
36,80
39,70
38,00
35,40
32,60
34,80
35,90
28,90
17,00
15,30
23,60
25,40
22,70
27,60
28,20
31,70
32,80
36,30
32,40
31,30
36,10
37,30
34,60
31,70
33,40
28,10
31,00
33,60
31,10
30,60
32,60
32,20
33,40
32,70
33,30
35,40
35,90
37,70
52,70
45,90
42,30
37,90
43,70
46,30
48,90
57,50
62,00
62,50
59,80
62,30
63,30
64,30
64,90
57,90
54,70
56,10
49,90
39,40
36,60
31,30
39,60
47,30
47,60
45,90
51,40
51,90
51,90
44,50
38,40
45,00
54,10
63,90
65,10
44,80
50,20
57,10
61,30
60,60
67,10
65,80
60,00
66,20
72,30
72,20
72,30
72,80
73,70
70,60
71,50
72,60
70,30
72,50
69,50
64,80
54,60
61,30
65,20
68,50
69,90
73,30
69,40
70,50
72,50
69,60
72,80
71,60
68,90
64,20
60,70
53,90
57,00
57,60
58,20
61,80
66,60
68,20
62,00
63,10
62,10
61,10
55,70
56,80
66,50
66,90
61,60
59,90
66,50
71,40
63,40
57,70
60,00
61,40
66,60
59,00
54,10
57,40
64,30
64,80
60,30
62,90
68,20
70,10
63,30
60,50
64,20
62,50
56,60
60,70
67,10
61,50
63,80
65,30
66,70
69,30
62,40
59,80
60,40
62,10
53,00
55,40
52,50
50,60
49,80
52,00
55,10
58,20
60,20
64,10
68,10
64,80
56,00
53,50
62,20
66,70
69,10
70,00
67,10
62,80
60,80
63,90
68,20
64,40
72,50
70,70
66,40
64,60
60,60
59,30
64,20
59,10
62,20
62,90
56,40
52,90
48,40
45,80
43,70
39,90
42,20
43,20
44,40
43,50
42,80
44,50
41,20
47,30
49,80
54,00
52,30
49,70
55,80
45,10
45,50
41,50
44,50
