0,001  0,0411945981567941
0,002  0,0303965680507911
0,003  0,0247670268794785
0,004  0,0232702943284748
0,005  0,0209049754384587
0,006  0,0193257803682433
0,007  0,0158438416621232
0,008  0,01267946820162
0,009  0,00981510138746657
0,01  0,0073740393918007
0,011  0,00636098168110062
0,012  0,00596007455334225
0,013  0,00527274747652921
0,014  0,00483115954621543
0,015  0,00462960864393624
0,016  0,00415269970197586
0,017  0,00382425145763232
0,018  0,0036673291157844
0,019  0,00350766621924015
0,02  0,00335062814916492
0,021  0,00324117703209382
0,022  0,00311707236377837
0,023  0,00298662284968861
0,024  0,0028901964795973
0,025  0,0028154246785998
0,026  0,00274946498140391
0,027  0,00268384277138111
0,028  0,0026178143628157
0,029  0,00255518264864147
0,03  0,00249866591402608
0,031  0,00244778125497192
0,032  0,00240132171540758
0,033  0,00235821294826125
0,034  0,00231680025633499
0,035  0,00227685906859904
0,036  0,00223967680571207
0,037  0,00220937141187757
0,038  0,00216661000565932
0,039  0,00213704538598381
0,04  0,00210909755323179
0,041  0,00208277152802553
0,042  0,00205650767034258
0,043  0,00202517389503377
0,044  0,00199184498438597
0,045  0,00197015430802711
0,046  0,00195113982991517
0,047  0,00192532130672895
0,048  0,00190232219780429
0,049  0,00188188508633303
